2025-12-12 14:49:56 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-12 14:49:56 [main] INFO  c.p.h.c.MatchControllerTest - Starting MatchControllerTest using Java 19.0.2 with PID 14760 (started by petrh in C:\Projekty Práce\StaraGarda\backend)
2025-12-12 14:49:56 [main] INFO  c.p.h.c.MatchControllerTest - No active profile set, falling back to 1 default profile: "default"
2025-12-12 14:50:00 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-12 14:50:00 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 241 ms. Found 6 JPA repository interfaces.
2025-12-12 14:50:04 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2025-12-12 14:50:04 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2025-12-12 14:50:04 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-12 14:50:04 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-12-12 14:50:05 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-12 14:50:05 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 8346 ms
2025-12-12 14:50:06 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-12 14:50:06 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-12-12 14:50:06 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-12 14:50:07 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
2025-12-12 14:50:07 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-12 14:50:07 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-12 14:50:08 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@76b642aa
2025-12-12 14:50:08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-12 14:50:11 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-12 14:50:11 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-12 14:50:15 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-12 14:50:16 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5748638c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7e864a8c, org.springframework.security.web.context.SecurityContextHolderFilter@6655b4e6, org.springframework.security.web.header.HeaderWriterFilter@298990ab, org.springframework.web.filter.CorsFilter@5e60e639, org.springframework.security.web.authentication.logout.LogoutFilter@299022a9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@319c77de, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6b0bcea5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4e502162, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1dade178, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6bab65b6, org.springframework.security.web.access.ExceptionTranslationFilter@7beb2bc2, org.springframework.security.web.access.intercept.AuthorizationFilter@7f6c85c4]
2025-12-12 14:50:17 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring TestDispatcherServlet ''
2025-12-12 14:50:17 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2025-12-12 14:50:17 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2025-12-12 14:50:17 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2025-12-12 14:50:17 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 55642 (http) with context path ''
2025-12-12 14:50:17 [main] INFO  c.p.h.c.MatchControllerTest - Started MatchControllerTest in 22.613 seconds (process running for 25.836)
2025-12-12 14:50:20 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-12-12 14:50:20 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-12 14:50:20 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
