2025-12-15 14:57:33 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-15 14:57:33 [main] INFO  c.p.h.c.MatchControllerTest - Starting MatchControllerTest using Java 19.0.2 with PID 21304 (started by petrh in C:\Projekty Práce\StaraGarda\backend)
2025-12-15 14:57:33 [main] INFO  c.p.h.c.MatchControllerTest - No active profile set, falling back to 1 default profile: "default"
2025-12-15 14:57:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-15 14:57:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 237 ms. Found 6 JPA repository interfaces.
2025-12-15 14:57:41 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2025-12-15 14:57:41 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2025-12-15 14:57:41 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-15 14:57:41 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-12-15 14:57:41 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-15 14:57:41 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7344 ms
2025-12-15 14:57:42 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-15 14:57:43 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-12-15 14:57:43 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-15 14:57:44 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
2025-12-15 14:57:46 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-15 14:57:46 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-15 14:57:47 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@4e26987b
2025-12-15 14:57:47 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-15 14:58:16 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-15 14:58:17 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-15 14:58:24 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-15 14:58:25 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3d2a164e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3725471, org.springframework.security.web.context.SecurityContextHolderFilter@15c48119, org.springframework.security.web.header.HeaderWriterFilter@49afaf65, org.springframework.web.filter.CorsFilter@35216a2e, org.springframework.security.web.authentication.logout.LogoutFilter@1c74eeb7, cz.phsoft.hokej.config.CustomJsonLoginFilter@3c51dec5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5c14c284, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1aae50f9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@51a42767, org.springframework.security.web.session.SessionManagementFilter@2fc2d1f0, org.springframework.security.web.access.ExceptionTranslationFilter@1c1bc904, org.springframework.security.web.access.intercept.AuthorizationFilter@463e0b6a]
2025-12-15 14:58:26 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring TestDispatcherServlet ''
2025-12-15 14:58:26 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2025-12-15 14:58:26 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2025-12-15 14:58:26 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2025-12-15 14:58:27 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 60947 (http) with context path ''
2025-12-15 14:58:27 [main] INFO  c.p.h.c.MatchControllerTest - Started MatchControllerTest in 56.015 seconds (process running for 59.12)
2025-12-15 14:58:32 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-12-15 14:58:32 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-15 14:58:33 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
